URL,案件名,単価,契約形態,最寄り駅,業界/職種・ポジション,職務内容,求めるスキル,扱う技術,精算,現場の環境,おすすめポイント,担当者コメント
https://freelance.levtech.jp/project/detail/44998/,New 【映像中継】ネットワーク整備の求人・案件,"〜400,000円",業務委託（フリーランス）,半蔵門（東京都）,放送・出版・音楽・芸能,"
職務内容
スポーツや音楽ライブの中継映像を
ネットワークに載せる作業を担当していただきます。
","
求めるスキル

・steamstar(スロバキア産のスイッチャー)の使用経験
・ホークアイの使用経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
30代活躍中

","テレビ番組制作、映像技術制作、ネットコンテンツ制作、CM制作、ロケバスサービスなどを一貫して行っている、約60年続く総合プロダクションからの案件です。

スポーツや音楽ライブの中継映像をネットワークに載せる、
最先端のスポーツ中継技術に携わることができます。"
https://freelance.levtech.jp/project/detail/45029/,New 【Windows】サーバ管理の求人・案件,"〜450,000円",業務委託（フリーランス）,渋谷（東京都）,インフラエンジニア,"
職務内容
・サーバ全般に携わっていただきます｡
・ストレージ、WindowsServer関連が多めで
　その他、ネットワーク系でのサポート業務もございます。
　(Windows/Linux/大容量のストレージ/仮想サーバー 等)
","
求めるスキル

・WindowsServerの経験/知見
・システム管理者経験

【歓迎スキル】
・MCSE 等資格を保有していること

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


OS

Windows
Linux
Windows Server



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

無



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","レバテック実績有りの企業でございます｡

WindowsServerの知見があり、システム管理者経験がある方にマッチします。"
https://freelance.levtech.jp/project/detail/45000/,New 【COBOL/Oracle/Solaris11】業務系システム更改PM補佐の求人・案件,"〜650,000円",業務委託（フリーランス）,五反田（東京都）,データベースエンジニア・SE (システムエンジニア)・プロジェクトマネージャー(PM),"
職務内容
・業務系システム更改に携わっていただきます｡
・PMの技術補佐として､要件定義工程、設計、開発、テストをご担当いただきます｡
・COBOL開発ベンダをマネジメントするPMを技術的見地からのサポートです｡
","
求めるスキル

・COBOL､Oracle､Solaris11のシステム構築経験/知見
・COBOLの開発経験
・業務系システムの基本設計､詳細設計､開発､テストの経験/知見

【歓迎スキル】
・PMまたはPL経験
・べンダーコントロール経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

COBOL



DB

Oracle



その他ツール

AWS



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"現行システムは､言語 COBOL・DB Oracle・OS Solarisのシステムで､
COBOL→COBOLのシステム更改の案件でございます｡

業務系システムの基本設計、詳細設計、開発、テストの経験及び知見がある方にマッチします。"
https://freelance.levtech.jp/project/detail/44992/,New 【AWS】プロダクト運用効率化の求人・案件,"〜800,000円",業務委託（フリーランス）,渋谷（東京都）,インフラエンジニア,"
職務内容
・プロダクトの運用効率化をメインに、アーキテクチャ設計からご担当いただきます。
","
求めるスキル

・AWSを中心としたクラウドインフラ経験 3年以上

【歓迎スキル】
・アーキテクチャ設計など上流工程から関わった経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


OS

Ubuntu



その他ツール

AWS
,  Docker



",精算・お支払いは取得できませんでした,"
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"日本NO1のSaaSプロダクト案件に携わっていただきます。

AWSを中心としたクラウドインフラエンジニア経験が3年以上ある方にマッチします。"
https://freelance.levtech.jp/project/detail/44980/,New 【Go】ドローン自動操縦アプリサーバサイド開発の求人・案件,"〜950,000円",業務委託（フリーランス）,品川（東京都）,SE (システムエンジニア)・プログラマー(PG),"
職務内容
・ドローンのオリジナルプロダクトにおける既存機能拡張や
　新規プロダクト開発をご担当いただきます。
・具体的には下記業務内容をご対応いただきます。
　-ドローンを活用したアプリの開発
-非技術部門との仕様策定・調整
　-クラウドサービスへのデータ連携
　-ネイティブアプリとのAPI連携開発
","
求めるスキル

・Java、PHP、Ruby、Pythonのいずれかを用いた開発経験3年以上
・フロントエンド開発経験

【歓迎スキル】
・Golangの経験
・AWS、GCPの経験
・TypeScriptの経験
・非技術部門との仕様策定・調整経験
・外部SDK利用をした開発経験
・IoTデバイスへの連携実績
・スタートアップでの実務経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

PHP
Python
Go言語
Perl



フレームワーク

Backbone.js
AngularJS
React



DB

MySQL



OS

iOS



その他ツール

AWS
,  GitHub
,  Docker



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

外国籍の方も活躍中
BtoB向け
取引実績あり
週3日から可能

","大規模な出資を受け、勢いのあるレバテック実績有りの企業です。

現在注目を集めている、ドローン関連サービスに携わっていただけます。
自分が書いたコードにより、実際にドローンが動きますので
興味深い経験ができる現場でございます。

IoT開発に興味のある方、
ユーザからのフィードバックをダイレクトに受け、
サービス開発に活かしたい方へお薦めの案件でございます。"
https://freelance.levtech.jp/project/detail/45013/,New 【インフラ/Linux/AWS】ゲーム会社インフラの求人・案件,"〜800,000円",業務委託（フリーランス）,渋谷（東京都）,業界/職種は取得できませんでした,"
職務内容
・大手ゲーム企業にて、インフラ業務をご担当いただきます。
・スキルやご経験に応じてインフラの設計、構築、テスト、運用に携わっていただきます。
・メインはソーシャルゲームのインフラですが、
　タイミングよっては社内インフラをご担当いただく場合もございます。
","
求めるスキル

・Linux、Apache、DBサーバを利用したインフラ構築運用経験3年以上

【歓迎スキル】
・MySQL、memcached、Redis、node、Fusion-io、
　LVS、BIG-IP等のインフラ構築運用経験
・MySQLのチューニング経験
・MySQL、PHPによるWebサイト開発経験
・AWS等のクラウド利用経験
・Akamai等のCDNの利用経験
・Fusion-io等の利用経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


OS

Linux



その他ツール

AWS



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

無



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"総ユーザー数5000万人を超える大手ソーシャルゲーム会社での業務となります。 

世の中に面白いゲームを提供するために、 
クオリティをとことん追求する集団です。 

技術力も高いエンジニアが多くおり、 
自身のスキルアップができる環境が整っております。 

とにかくおもしろいゲームを作りたい、 
多くのユーザーを楽しませたいという思考をお持ちの方はよりマッチ致します。"
https://freelance.levtech.jp/project/detail/44988/,New 【Unity】コンテンツ配信プラットフォーム開発の求人・案件,"〜800,000円",業務委託（フリーランス）,末広町（東京都）,SE (システムエンジニア)・プログラマー(PG),"
職務内容
・ライブストリーミング配信システムの開発および運用に携わっていただきます。
・設計から幅広くご担当いただきます。
※ご担当範囲は、スキルや経験および進捗状況により変動いたします。
","
求めるスキル

・Unityを用いた開発実務経験
・Gitを用いた複数人での開発経験

【歓迎スキル】
・AR、VRの開発に関与した経験
・C++の経験
・スマートフォンアプリの開発・運用経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


その他ツール

Unity
,  Git



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
30代活躍中
新規立ち上げ

","スタートアップ企業にてAR、VRサービスの開発案件になります。

意見やアイディアを十分に反映させることができる風通しの良い環境です。
新しい技術やサービスに日頃から関心を持ち、
成果やプロダクトをアウトプットしていきたい方にオススメの案件です。"
https://freelance.levtech.jp/project/detail/45027/,New 【Mac/Linux】情報システム管理の求人・案件,"〜500,000円",業務委託（フリーランス）,渋谷（東京都）,インフラエンジニア,"
職務内容
・macOS/OS Xのシステム管理をご担当いただきます。
・大規模ストレージやネットワーク系でのサポート作業もございます。
","
求めるスキル

・macOSの知見、かつ、下記いずれかの経験
-システム管理者
-何かしらのOSのシステム管理者(Linux/Windows 等)

【歓迎スキル】
・iOSおよびAndroidの知見/管理経験
・LinuxまたはFreeBSDまたはWindowsのシステム管理者経験
・ネットワーク管理者経験
・ACMT/ACiT資格を保有していること
・LPIC1～3/MCSA/MCSE/CCNA/CCNP/応用情報技術者

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


OS

Android
Windows
Linux
iOS
FreeBSD



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

無



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","レバテック実績有りの企業でございます｡

macOSの知見がある方にマッチします。"
https://freelance.levtech.jp/project/detail/44937/,New 【PHP/Laravel】基幹システム開発の求人・案件,"〜700,000円",業務委託（フリーランス）,虎ノ門（東京都）,プログラマー(PG),"
職務内容
・PHP、Laravelを使用してWEB基幹システムの開発をご担当いただきます。
","
求めるスキル

・PHPを用いた開発経験4年以上
・Laravelを用いた実務経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

JavaScript
PHP



フレームワーク

Laravel



その他ツール

Git
,  Backlog



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
30代活躍中
長期プロジェクト
取引実績あり

","レバテック実績ありの企業の案件でございます。

虎ノ門駅より徒歩5分、もしくは、
JR新橋駅より徒歩10分圏内でアクセスの良い作業現場になります。

Laravelを用いた開発経験がある方にお勧めの案件でございます。"
https://freelance.levtech.jp/project/detail/44997/,New 【Kpopライブ】アシスタントプロデューサーの求人・案件,"〜400,000円",業務委託（フリーランス）,半蔵門（東京都）,放送・出版・音楽・芸能,"
職務内容
国内で開催されるKpopアイドルなどのライブ中継の
アシスタントプロデューサーをお任せいたします。
","
求めるスキル

・音楽ライブでのアシスタントプロデューサー経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
30代活躍中
外国語を活かす

","テレビ番組制作、映像技術制作、ネットコンテンツ制作、CM制作、ロケバスサービスなどを一貫して行っている、約60年続く総合プロダクションからの案件です。

国内で開催される音楽ライブのアシスタントプロデューサーをご担当いただきます。

Kpopアイドルが好きな方によりマッチする作業内容です。"
https://freelance.levtech.jp/project/detail/45003/,New 【Ruby】スポーツ系Webサービス開発の求人・案件,"〜800,000円",業務委託（フリーランス）,渋谷（東京都）,SE (システムエンジニア)・プロジェクトマネージャー(PM)・プログラマー(PG)・プロジェクトリーダー(PL),"
職務内容
・既存のWebサービスを大幅リニューアルしていただく案件です。
　現在WordPressでできているサービスですが、
　Ruby on Rails+Nuxt.js+AWSで再構築される予定です。
・ご参画いただく方の希望と経験に応じて、
　フロントエンド、サーバーサイド、インフラの領域にて
　横断的に携わっていただきます。
","
求めるスキル

・Ruby on Railsを用いた開発経験2年以上
・REST APIによるAPIの設計の実務経験
・MySQLやPostgreSQLなどのRDBを使った開発実務経験
・単体テスト及び結合テストの実務経験

【歓迎スキル】
・複数言語でのサーバサイド開発経験
・テックリードの経験
・BtoCサービスの設計・開発・運用経験
・テーブル設計の経験
・フロントエンドの開発経験
・アジャイルによる開発経験
・スポーツが好きであること

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

Ruby



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
30代活躍中

","スポーツ×人の教育を軸としたサービスを展開している企業です。

コミュニケーションを取りながら開発を進めていく環境の中で、
裁量を持って携わりたい方におすすめの案件です。"
https://freelance.levtech.jp/project/detail/44993/,New 【フロントエンド】EC系サービスの求人・案件,"〜600,000円",業務委託（フリーランス）,表参道（東京都）,ECサイト・フロントエンドエンジニア,"
職務内容
ECに関するサービスのフロントエンド開発をお任せいたします。
","
求めるスキル

・Javascript開発経験2年以上
・ECサービス経験

【歓迎スキル】
・Google Analyticsの知見

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

JavaScript



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

急募
BtoC向け

","企業の消費・購買にフォーカスした施策・ソリューションを提供している企業でございます。

クライアント企業のプロジェクトに入り込むことはもちろん、新規事業として独自のプロダクトも開発しており、
これまでECのご経験がある方にマッチする案件でございます。"
https://freelance.levtech.jp/project/detail/45017/,New 【上流/Azure】通信IT関連向け認証基盤更改の求人・案件,"〜600,000円",業務委託（フリーランス）,上野（東京都）,インフラエンジニア・SE (システムエンジニア),"
職務内容
・認証基盤更改(AzureAD)に携わっていただきます｡
・MSプロダクトの導入においてPJ計画立案、要件定義、設計、構築等があり、
　特に下記を行っていただきます｡
-AzureAD、AzureAD connect等を使用した認証基盤の設計構築業務
-O365との繋ぎこみにおける各種セキュリティ等の検討業務
","
求めるスキル

・Azure、AzureAD、AzureAD connect等の技術知見を用いた設計/構築/運用の経験
・Active Directory、ADFS等の知見

【歓迎スキル】
・O365、M365の設計/構築/運用の経験
・Azure Securityに関する知見
・AD、WSUS/、ntuneの知見
・クラウドの知見

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


その他ツール

Microsoft Azure



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","レバテック実績有りの企業です。

AzureADの技術知見があり、設計・構築・運用経験がある方にマッチします。"
